Source code repositories,,Issue tracking systems,,Architectural documentation,,,,,,,,,
System,# papers,System,# papers,System,# papers,,,,,,,,
Unix,1,UniNFe,1,,,Unix,Unix,,SalesPlus,1,0,1,2
Achilles,1,Xerces,1,,,Achilles,Achilles,,SoftServe,1,1,0,2
Agilefant,1,,,,,Agilefant,Agilefant,,Solr,1,1,0,2
Aion,1,,,,,Aion,Aion,,spark,1,1,0,2
airflow,1,,,,,airflow,airflow,,SweetHome3D,1,0,1,2
allura,1,,,,,allura,allura,,Thunderbird,1,1,0,2
Alogcat,1,,,,,Alogcat,Alogcat,,Spark,1,1,0,2
Andless,1,,,,,Andless,Andless,,,,,,
Android,1,,,,,Android,Android,,,,,,
Android VNC,1,,,,,Android VNC,Android VNC,,,,,,
Anstop,1,,,,,Anstop,Anstop,,,,,,42
Ant-ivy,1,,,,,Ant-ivy,Ant-ivy,,,,,,
aoi,1,,,,,aoi,aoi,,,,,,
Apache,1,,,,,Apache,Apache,,,,,,
Appsorganizer,1,,,,,Appsorganizer,Appsorganizer,,,,,,
AppSoundmanager,1,,,,,AppSoundmanager,AppSoundmanager,,,,,,
aspectj,1,,,,,aspectj,aspectj,,,,,,
assertj-core,1,,,,,assertj-core,assertj-core,,,,,,
Athena,1,,,,,Athena,Athena,,,,,,
Atrium,1,,,,,Atrium,Atrium,,,,,,
axion,1,,,,,axion,axion,,,,,,
AzureSDK,1,,,,,AzureSDK,AzureSDK,,,,,,
Bach,1,,,,,Bach,Bach,,,,,,
Beehive,1,,,,,Beehive,Beehive,,,,,,
bitbake,1,,,,,bitbake,bitbake,,,,,,
c_jdbc,1,,,,,c_jdbc,c_jdbc,,,,,,
Calcite,1,,,,,Calcite,Calcite,,,,,,
Cassette,1,,,,,Cassette,Cassette,,,,,,
CastleCore,1,,,,,CastleCore,CastleCore,,,,,,
castor,1,,,,,castor,castor,,,,,,
cayenne,1,,,,,cayenne,cayenne,,,,,,
CCNET,1,,,,,CCNET,CCNET,,,,,,
celery,1,,,,,celery,celery,,,,,,
certbot,1,,,,,certbot,certbot,,,,,,
chatterBot,1,,,,,chatterBot,chatterBot,,,,,,
Chemistry,1,,,,,Chemistry,Chemistry,,,,,,
cherrypy,1,,,,,cherrypy,cherrypy,,,,,,
chiliproject,1,,,,,chiliproject,chiliproject,,,,,,
Chrome,1,,,,,Chrome,Chrome,,,,,,
Chromium,1,,,,,Chromium,Chromium,,,,,,
Clone,1,,,,,Clone,Clone,,,,,,
cobbler,1,,,,,cobbler,cobbler,,,,,,
cobertura,1,,,,,cobertura,cobertura,,,,,,
codespeed,1,,,,,codespeed,codespeed,,,,,,
collections,1,,,,,collections,collections,,,,,,
colt,1,,,,,colt,colt,,,,,,
columba,1,,,,,columba,columba,,,,,,
Comm_4,1,,,,,Comm_4,Comm_4,,,,,,
commApp,1,,,,,commApp,commApp,,,,,,
Commons-Math,1,,,,,Commons-Math,Commons-Math,,,,,,
compiere,1,,,,,compiere,compiere,,,,,,
Continuum,1,,,,,Continuum,Continuum,,,,,,
Crawljax,1,,,,,Crawljax,Crawljax,,,,,,
Csipsimple,1,,,,,Csipsimple,Csipsimple,,,,,,
deluge,1,,,,,deluge,deluge,,,,,,
DemoSite,1,,,,,DemoSite,DemoSite,,,,,,
Diskusage,1,,,,,Diskusage,Diskusage,,,,,,
displaytag,1,,,,,displaytag,displaytag,,,,,,
django-fiber,1,,,,,django-fiber,django-fiber,,,,,,
django-oscar,1,,,,,django-oscar,django-oscar,,,,,,
django-shop,1,,,,,django-shop,django-shop,,,,,,
django-wiki,1,,,,,django-wiki,django-wiki,,,,,,
drawswf,1,,,,,drawswf,drawswf,,,,,,
dymos,1,,,,,dymos,dymos,,,,,,
emma,1,,,,,emma,emma,,,,,,
exoportal,1,,,,,exoportal,exoportal,,,,,,
fitjava,1,,,,,fitjava,fitjava,,,,,,
fitlibraryforfitnesse,1,,,,,fitlibraryforfitnesse,fitlibraryforfitnesse,,,,,,
Flink,1,,,,,Flink,Flink,,,,,,
freecs,1,,,,,freecs,freecs,,,,,,
fulcrum,1,,,,,fulcrum,fulcrum,,,,,,
gajim,1,,,,,gajim,gajim,,,,,,
galleon,1,,,,,galleon,galleon,,,,,,
ganttproject,1,,,,,ganttproject,ganttproject,,,,,,
gensim,1,,,,,gensim,gensim,,,,,,
GitExtensions,1,,,,,GitExtensions,GitExtensions,,,,,,
Gnumeric,1,,,,,Gnumeric,Gnumeric,,,,,,
Groovy,1,,,,,Groovy,Groovy,,,,,,
gson,1,,,,,gson,gson,,,,,,
guava,1,,,,,guava,guava,,,,,,
guice,1,,,,,guice,guice,,,,,,
gunicorn,1,,,,,gunicorn,gunicorn,,,,,,
HDFS,1,,,,,HDFS,HDFS,,,,,,
helpy,1,,,,,helpy,helpy,,,,,,
heritrix,1,,,,,heritrix,heritrix,,,,,,
HibernateSearch,1,,,,,HibernateSearch,HibernateSearch,,,,,,
horizon,1,,,,,horizon,horizon,,,,,,
Hours,1,,,,,Hours,Hours,,,,,,
hsqldb,1,,,,,hsqldb,hsqldb,,,,,,
htmlunit,1,,,,,htmlunit,htmlunit,,,,,,
HttpClient,1,,,,,HttpClient,HttpClient,,,,,,
Httpcomp,1,,,,,Httpcomp,Httpcomp,,,,,,
Ignite,1,,,,,Ignite,Ignite,,,,,,
ILSpy,1,,,,,ILSpy,ILSpy,,,,,,
Imgui,1,,,,,Imgui,Imgui,,,,,,
informa,1,,,,,informa,informa,,,,,,
ipython,1,,,,,ipython,ipython,,,,,,
ireport,1,,,,,ireport,ireport,,,,,,
itext,1,,,,,itext,itext,,,,,,
ITK,1,,,,,ITK,ITK,,,,,,
ivatagroupware,1,,,,,ivatagroupware,ivatagroupware,,,,,,
Jadx,1,,,,,Jadx,Jadx,,,,,,
jag,1,,,,,jag,jag,,,,,,
james,1,,,,,james,james,,,,,,
jasml,1,,,,,jasml,jasml,,,,,,
javacc,1,,,,,javacc,javacc,,,,,,
jchempaint,1,,,,,jchempaint,jchempaint,,,,,,
Jenkins,1,,,,,Jenkins,Jenkins,,,,,,
jext,1,,,,,jext,jext,,,,,,
jFin_DateMath,1,,,,,jFin_DateMath,jFin_DateMath,,,,,,
JForum,1,,,,,JForum,JForum,,,,,,
jgroups,1,,,,,jgroups,jgroups,,,,,,
jmoney,1,,,,,jmoney,jmoney,,,,,,
joggplayer,1,,,,,joggplayer,joggplayer,,,,,,
jparse,1,,,,,jparse,jparse,,,,,,
jpf,1,,,,,jpf,jpf,,,,,,
jruby,1,,,,,jruby,jruby,,,,,,
jsXe,1,,,,,jsXe,jsXe,,,,,,
jtopen,1,,,,,jtopen,jtopen,,,,,,
JUnit4,1,,,,,JUnit4,JUnit4,,,,,,
Kafka,1,,,,,Kafka,Kafka,,,,,,
kandan,1,,,,,kandan,kandan,,,,,,
Karaf,1,,,,,Karaf,Karaf,,,,,,
keras,1,,,,,keras,keras,,,,,,
KSpread,1,,,,,KSpread,KSpread,,,,,,
